temp,lvl,time,sex,treatment_sex_id,surv,prod,awake
34,0,0,M,34_0_M,0.955555556,6.502369585,1
34,25,105.9940852,M,34_25_M,0.933333333,8.789360456,1
34,50,211.9881705,M,34_50_M,1,7.640832178,0.933333333
34,75,317.9822557,M,34_75_M,1,4.681938665,1
34,100,423.976341,M,34_100_M,1,3.161208198,0.866666667
34,125,529.9704262,M,34_125_M,0.666666667,2.808571429,0.666666667
34,150,635.9645114,M,34_150_M,0.533333333,1.135487748,0.133333333
34,175,741.9585967,M,34_175_M,0.2,0.740406842,0
34,200,847.9526819,M,34_200_M,0,0.378378795,0
35,0,0,M,35_0_M,0.955555556,6.502369585,1
35,25,42.75,M,35_25_M,0.933333333,7.725238095,1
35,50,85.5,M,35_50_M,0.933333333,6.27017316,0.866666667
35,75,128.25,M,35_75_M,0.866666667,4.277532468,0.8
35,100,171,M,35_100_M,0.733333333,3.116103896,0.933333333
35,125,213.75,M,35_125_M,0.666666667,2.291255411,0.4
35,150,256.5,M,35_150_M,0.6,1.377142857,0
35,175,299.25,M,35_175_M,0.333333333,0.737142857,0
35,200,342,M,35_200_M,0.2,0.763982684,0
35,250,427.5,M,35_250_M,0,0,0
35,300,513,M,35_300_M,0,0,0
36,0,0,M,36_0_M,0.955555556,6.502369585,1
36,25,17.24211776,M,36_25_M,0.733333333,5.273888017,1
36,50,34.48423553,M,36_50_M,0.8,6,0.933333333
36,75,51.72635329,M,36_75_M,0.733333333,5.1,0.866666667
36,100,68.96847106,M,36_100_M,0.666666667,2.794331066,0.933333333
36,125,86.21058882,M,36_125_M,0.666666667,2.499563928,0.266666667
36,150,103.4527066,M,36_150_M,0.6,1.265201465,0
36,175,120.6948244,M,36_175_M,0.333333333,1.318315018,0.266666667
36,200,137.9369421,M,36_200_M,0.333333333,0.8,0
36,250,172.4211776,M,36_250_M,0.066666667,0,0
37,0,0,M,37_0_M,0.955555556,6.502369585,1
37,25,6.954166667,M,37_25_M,0.8,6.117094725,1
37,50,13.90833333,M,37_50_M,0.866666667,5.304166174,1
37,75,20.8625,M,37_75_M,0.733333333,5.322266935,0.933333333
37,100,27.81666667,M,37_100_M,0.933333333,4.33648558,1
37,125,34.77083333,M,37_125_M,0.866666667,4.645875252,0.466666667
37,150,41.725,M,37_150_M,0.928571429,4.259123368,0.733333333
37,175,48.67916667,M,37_175_M,0.866666667,3.837901921,0.133333333
37,200,55.63333333,M,37_200_M,0.533333333,2.15187615,0.066666667
37,250,69.54166667,M,37_250_M,0,0,0
37,300,83.45,M,37_300_M,0,0,0
38,0,0,M,38_0_M,0.955555556,6.502369585,1
38,25,2.804785044,M,38_25_M,0.866666667,7.594628767,1
38,50,5.609570087,M,38_50_M,0.666666667,8.428275749,0.666666667
38,75,8.414355131,M,38_75_M,0.866666667,5.485532958,0.8
38,100,11.21914017,M,38_100_M,0.8,7.161378747,0.333333333
38,125,14.02392522,M,38_125_M,0.8,4.360494977,0
38,150,16.82871026,M,38_150_M,0.866666667,5.546356285,0
38,175,19.63349531,M,38_175_M,0.866666667,5.003392959,0
38,200,22.43828035,M,38_200_M,0.866666667,3.638645757,0
38,250,28.04785044,M,38_250_M,0.866666667,3.069331808,0
38,300,33.65742052,M,38_300_M,0.708333333,2.143149555,0
38,400,44.8765607,M,38_400_M,0.222222222,0.951934042,0
38,500,56.09570087,M,38_500_M,0,0.981142446,0
34,0,0,F,34_0_F,0.945454545,7.035112485,1
34,25,146.0209913,F,34_25_F,1,9.878964401,1
34,50,292.0419826,F,34_50_F,0.866666667,4.313595315,0.933333333
34,75,438.0629739,F,34_75_F,0.8,2.190402219,0.933333333
34,100,584.0839652,F,34_100_F,0.333333333,0.286515642,0.6
34,125,730.1049565,F,34_125_F,0.333333333,0.450485437,0.133333333
34,150,876.1259479,F,34_150_F,0,0,0.066666667
34,175,1022.146939,F,34_175_F,0,0,0
34,200,1168.16793,F,34_200_F,0,0,0
35,0,0,F,35_0_F,0.945454545,7.035112485,1
35,25,59.5,F,35_25_F,0.866666667,6.853679654,1
35,50,119,F,35_50_F,0.8,3.658008658,1
35,75,178.5,F,35_75_F,0.866666667,3.209350649,0.933333333
35,100,238,F,35_100_F,0.8,1.887619048,0.666666667
35,125,297.5,F,35_125_F,0.533333333,1.486580087,0.066666667
35,150,357,F,35_150_F,0,0,0
35,175,416.5,F,35_175_F,0,0,0
35,200,476,F,35_200_F,0,0,0
35,250,595,F,35_250_F,0,0,0
35,300,714,F,35_300_F,0,0,0
36,0,0,F,36_0_F,0.945454545,7.035112485,1
36,25,24.24480185,F,36_25_F,0.666666667,6,1
36,50,48.4896037,F,36_50_F,0.666666667,5.5,0.866666667
36,75,72.73440555,F,36_75_F,0.666666667,1.174882261,0.733333333
36,100,96.97920739,F,36_100_F,0.733333333,0.90242456,0.8
36,125,121.2240092,F,36_125_F,0.333333333,0.055852084,0.066666667
36,150,145.4688111,F,36_150_F,0.2,0,0.066666667
36,175,169.7136129,F,36_175_F,0.266666667,0,0.066666667
36,200,193.9584148,F,36_200_F,0.230769231,0,0
36,250,242.4480185,F,36_250_F,0,0,0
37,0,0,F,37_0_F,0.945454545,7.035112485,1
37,25,9.879166667,F,37_25_F,0.866666667,6.0105,1
37,50,19.75833333,F,37_50_F,0.866666667,3.525663356,1
37,75,29.6375,F,37_75_F,0.928571429,3.913888464,0.933333333
37,100,39.51666667,F,37_100_F,0.8,2.078472116,0.733333333
37,125,49.39583333,F,37_125_F,0.533333333,0.716363636,0.133333333
37,150,59.275,F,37_150_F,0.6,0.269987268,0
37,175,69.15416667,F,37_175_F,0.133333333,0,0.066666667
37,200,79.03333333,F,37_200_F,0,0.188235294,0
37,250,98.79166667,F,37_250_F,0,0,0
37,300,118.55,F,37_300_F,0,0,0
38,0,0,F,38_0_F,0.945454545,7.035112485,1
38,25,4.025519971,F,38_25_F,0.866666667,9.328651474,1
38,50,8.051039942,F,38_50_F,0.866666667,10.12201258,0.733333333
38,75,12.07655991,F,38_75_F,0.8,7.839921588,0.6
38,100,16.10207988,F,38_100_F,0.866666667,6.345591767,0.133333333
38,125,20.12759985,F,38_125_F,0.733333333,3.886707506,0.066666667
38,150,24.15311982,F,38_150_F,0.8,4.063262272,0
38,175,28.1786398,F,38_175_F,0.6,2.995615454,0.066666667
38,200,32.20415977,F,38_200_F,0.076923077,0.292294372,0
38,250,40.25519971,F,38_250_F,0,0,0
38,300,48.30623965,F,38_300_F,0,0,0
38,400,64.40831953,F,38_400_F,0,0,0
38,500,80.51039942,F,38_500_F,0,0,0
