"rep","seed","method","fit_ok","z_med","z_lo","z_hi","width","covers","n_div","max_rhat","min_ess","n_b1_nonneg","phi_med","err"
1,101,"A",1,4.017865473931,3.73136253115708,4.28715975950679,0.555797228349703,1,0,1.0056648117369,191.274208540883,0,NA,""
1,101,"B",1,4.02089753798091,3.66162303581387,4.37711349133867,0.715490455524801,1,0,1.01846515300637,218.312277686694,0,46.3482985,""
1,101,"C",1,4.00538981608808,3.66876499011733,4.36285642610538,0.694091435988055,1,0,1.00563021533345,253.476256447074,0,NA,""
2,102,"A",1,4.12589165547157,3.86968943490615,4.37247603037612,0.502786595469969,1,0,1.02495009296717,182.566858050718,0,NA,""
2,102,"B",1,4.04714454418837,3.70097006818733,4.41373228059789,0.712762212410557,1,0,1.02021107976204,204.984962435004,0,54.652448,""
2,102,"C",1,4.07955941132922,3.70533962573969,4.45538421822065,0.750044592480962,1,0,1.00447398223637,261.537506040853,0,NA,""
3,103,"A",1,4.0842969898008,3.87092467869565,4.3171299205754,0.446205241879753,1,0,1.00032628369329,142.482000674573,0,NA,""
3,103,"B",1,4.09403924841126,3.76299659791442,4.46113701192536,0.698140414010932,1,0,1.02272785954765,254.949180525851,0,62.300758,""
3,103,"C",1,4.02814703014525,3.6630903056309,4.35876918212909,0.69567887649819,1,0,1.0080279638665,173.761488195632,0,NA,""
4,104,"A",1,3.9878929490583,3.76737937506044,4.23783273199474,0.470453356934296,1,0,1.0147150207255,166.090845942735,0,NA,""
4,104,"B",1,3.98868825618973,3.66393670223849,4.30748653726542,0.643549835026938,1,0,0.999764827158059,237.592721384844,0,53.445037,""
4,104,"C",1,3.92080868269044,3.61508548243673,4.25831730206965,0.643231819632916,1,0,1.01795148451967,204.206899562342,0,NA,""
5,105,"A",1,4.05611465454276,3.80316570690532,4.33112753235114,0.527961825445827,1,0,1.0196925768839,152.67646147855,0,NA,""
5,105,"B",1,3.98095584072869,3.59048764093199,4.3476617974899,0.757174156557912,1,0,1.012335159312,234.852516180421,0,58.5874765,""
5,105,"C",1,3.99902122268531,3.65092652660107,4.33656026901591,0.685633742414844,1,0,1.00265951032571,251.296647216596,0,NA,""
6,106,"A",1,4.03282056056751,3.77192236515511,4.3183982993087,0.546475934153593,1,0,1.0252352657443,144.637182669551,0,NA,""
6,106,"B",1,4.01518164973701,3.72968441992166,4.31704448323381,0.58736006331215,1,0,1.00934665508089,194.112637605757,0,58.00785,""
6,106,"C",1,4.06936941610721,3.74283855439495,4.37951986072252,0.636681306327571,1,0,1.03682126730953,196.046139807779,0,NA,""
7,107,"A",1,3.8400903250522,3.5285183642274,4.144867617832,0.616349253604596,1,0,1.00904447680352,163.660664485103,0,NA,""
7,107,"B",1,3.85133789872683,3.51048916202517,4.13609316141663,0.625603999391466,1,0,1.00667669379148,277.899123315263,0,52.131287,""
7,107,"C",1,3.86008593878444,3.44857307882278,4.28592904367217,0.837355964849387,1,0,1.01102189676498,221.677633847693,0,NA,""
8,108,"A",1,3.75846785255771,3.48976977378499,4.00658123645937,0.516811462674378,1,0,1.00196899532433,145.904337719236,0,NA,""
8,108,"B",1,3.74657212342698,3.41885610662548,4.06126315943532,0.642407052809832,1,0,1.00780744260327,169.69437493667,0,56.2160415,""
8,108,"C",1,3.82468698968197,3.52116341847384,4.17691167072755,0.655748252253715,1,0,1.01611443243424,224.249766919246,0,NA,""
9,109,"A",1,3.90829744890565,3.59792269971447,4.19770074779946,0.599778048084986,1,0,1.00216554346148,109.201461257203,0,NA,""
9,109,"B",1,3.90306695826415,3.56806231786248,4.26547837214711,0.697416054284633,1,0,1.00284008575528,173.246658712535,0,63.380069,""
9,109,"C",1,3.75314765986351,3.34503833068392,4.14630737108032,0.801269040396397,1,0,1.00166433917142,246.183259129523,0,NA,""
10,110,"A",1,4.62602315720757,4.39477952451209,4.8594145382112,0.464635013699106,0,0,1.01095000264249,203.77988020026,0,NA,""
10,110,"B",1,4.59750079350162,4.30273606409592,4.94250626747716,0.639770203381246,0,0,1.02914778997551,114.250449792827,0,50.2343365,""
10,110,"C",1,4.52175900636007,4.23314578596097,4.91786195559899,0.684716169638016,0,0,1.01113372224297,266.280978966656,0,NA,""
11,111,"A",1,3.42125647653591,3.19138319674854,3.62968162081321,0.438298424064679,0,0,1.00004359764054,208.271216831096,0,NA,""
11,111,"B",1,3.38208738000606,3.04428074054407,3.75303250651287,0.708751765968796,0,0,1.00224793128545,149.568052708529,0,58.139191,""
11,111,"C",1,3.49239842264229,3.19081868339353,3.83000311475047,0.639184431356937,0,0,1.01532982895478,258.375714197234,0,NA,""
12,112,"A",1,4.1405207552598,3.91732652934737,4.43364719802165,0.516320668674274,1,0,1.01155197165347,174.414174347743,0,NA,""
12,112,"B",1,4.09613117049294,3.79245465968539,4.44871808315169,0.656263423466299,1,0,1.00829714729181,235.040938695555,0,45.678096,""
12,112,"C",1,4.11012526981107,3.72010333491623,4.47899076213196,0.758887427215727,1,0,1.00033952090875,289.676420511046,0,NA,""
13,113,"A",1,4.1899717308861,3.94876734619988,4.42459357571109,0.475826229511209,1,0,1.00544435660878,218.447274056061,0,NA,""
13,113,"B",1,4.16984913031462,3.8076127611911,4.54424672273385,0.736633961542753,1,0,1.01090976009467,215.080870478365,0,55.8380695,""
13,113,"C",1,4.21130710463968,3.89917224248067,4.54964535746469,0.650473114984016,1,0,1.00582671066948,229.081769964512,0,NA,""
14,114,"A",1,3.9757966445843,3.71307103555814,4.22427063227805,0.511199596719912,1,0,1.00839576676431,184.657592300824,0,NA,""
14,114,"B",1,3.9506826088117,3.60843200075606,4.31327327334996,0.704841272593894,1,0,0.999996479764693,198.814057247998,0,57.655441,""
14,114,"C",1,3.80762964487208,3.4230306134473,4.14131139154994,0.718280778102633,1,0,1.00282090616228,198.107994999391,0,NA,""
15,115,"A",1,4.10019751919933,3.8091140581517,4.33791138725084,0.528797329099146,1,0,1.01361491071891,74.0091095822081,0,NA,""
15,115,"B",1,4.08350181868548,3.70586481790869,4.43215697007641,0.726292152167716,1,0,1.0201178059966,275.919918027145,0,46.740255,""
15,115,"C",1,4.03807696231599,3.6823448647228,4.3996868264914,0.717341961768606,1,0,1.00335208677684,185.873397020817,0,NA,""
16,116,"A",1,3.88664843857789,3.61703199077037,4.1285761724528,0.511544181682438,1,0,1.00944071040519,172.851042073955,0,NA,""
16,116,"B",1,3.83586408457999,3.46953791051657,4.17740633506112,0.707868424544554,1,0,1.02879933489877,114.44311388084,0,55.691399,""
16,116,"C",1,3.7381913456613,3.39924023571043,4.10822629841776,0.708986062707335,1,0,1.0022473171265,296.316430994848,0,NA,""
17,117,"A",1,3.75164697621729,3.50727211263358,3.96699210837234,0.459719995738754,0,0,1.01304827647248,247.055665708911,0,NA,""
17,117,"B",1,3.71930398009415,3.38143347883659,4.05895637154015,0.677522892703569,1,0,1.00499360814049,215.217931844921,0,52.743295,""
17,117,"C",1,3.75375199739273,3.40488980758346,4.12305859042969,0.718168782846231,1,0,1.00913636043807,291.47014002695,0,NA,""
18,118,"A",1,4.05727410974229,3.77403830345906,4.357222392249,0.583184088789936,1,0,1.00955302674196,128.492475974023,0,NA,""
18,118,"B",1,4.06211752637471,3.68563952793918,4.40954397340296,0.723904445463775,1,0,1.01301943866483,189.430651010044,0,63.75909,""
18,118,"C",1,4.07680892137833,3.70155614307451,4.5132908343692,0.81173469129469,1,0,1.00337483943359,257.528648311792,0,NA,""
19,119,"A",1,4.3065704533189,4.01873329612488,4.58001132021981,0.561278024094927,0,0,1.00944677371609,191.123985422017,0,NA,""
19,119,"B",1,4.29307349697828,3.94785832296531,4.64844235495249,0.700584031987174,1,0,1.01386397418812,175.873274236162,0,55.5568535,""
19,119,"C",1,4.18162505590581,3.82137761536631,4.55757812920238,0.736200513836066,1,0,1.0105877393157,152.242353035915,0,NA,""
20,120,"A",1,4.15118163538685,3.88720418007247,4.46303247336034,0.575828293287876,1,0,1.00256399303454,160.198760841476,0,NA,""
